TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1683167156689	-0.068742	-8.200715	-0.038327	0.999328	0.020132	-0.030563	-0.001795	img__0_1683167161616098000.png
1683167156734	-0.007642	-8.196760	-0.038147	0.999156	0.021459	-0.034859	0.003527	img__0_1683167161661204000.png
1683167156785	0.063270	-8.191224	-0.038358	0.998950	0.022671	-0.038548	0.009939	img__0_1683167161711958000.png
1683167156836	0.136105	-8.184504	-0.038737	0.998701	0.024631	-0.041338	0.016737	img__0_1683167161761108000.png
1683167156887	0.210997	-8.176502	-0.039222	0.998407	0.025687	-0.044230	0.023828	img__0_1683167161812135000.png
1683167156932	0.278851	-8.168334	-0.039234	0.998092	0.026595	-0.046791	0.030274	img__0_1683167161859060000.png
1683167156986	0.362581	-8.157100	-0.038574	0.997747	0.027670	-0.047658	0.038254	img__0_1683167161911438000.png
1683167157043	0.453776	-8.143440	-0.037427	0.997300	0.029373	-0.048227	0.046948	img__0_1683167161969787000.png
1683167157094	0.537793	-8.129571	-0.035718	0.996911	0.030088	-0.047417	0.054910	img__0_1683167162021855000.png
1683167157142	0.618816	-8.115098	-0.032610	0.996610	0.030351	-0.043857	0.062639	img__0_1683167162068083000.png
1683167157190	0.701684	-8.099152	-0.029084	0.996062	0.032114	-0.043127	0.070494	img__0_1683167162116603000.png
1683167157238	0.786336	-8.081627	-0.025673	0.995712	0.032983	-0.035536	0.078786	img__0_1683167162164828000.png
1683167157286	0.872447	-8.062510	-0.022058	0.995225	0.033245	-0.028286	0.087300	img__0_1683167162213834000.png
1683167157340	0.970683	-8.039068	-0.018159	0.994395	0.034071	-0.025009	0.096917	img__0_1683167162267303000.png
1683167157385	1.053453	-8.017955	-0.014912	0.993639	0.034391	-0.021740	0.105010	img__0_1683167162312796000.png
1683167157460	1.192877	-7.979589	-0.009641	0.992245	0.033381	-0.018733	0.118259	img__0_1683167162387753000.png
1683167157505	1.277295	-7.954669	-0.007092	0.991304	0.032976	-0.017373	0.126205	img__0_1683167162432539000.png
1683167157550	1.362190	-7.928359	-0.004708	0.990344	0.031789	-0.015281	0.134069	img__0_1683167162475597000.png
1683167157598	1.453162	-7.898864	-0.001772	0.989262	0.030547	-0.013343	0.142303	img__0_1683167162523428000.png
1683167157649	1.550203	-7.865938	0.001194	0.988064	0.029138	-0.011231	0.150846	img__0_1683167162575783000.png
1683167157697	1.641800	-7.833514	0.003622	0.986866	0.028493	-0.009790	0.158708	img__0_1683167162624513000.png
1683167157745	1.733583	-7.799761	0.006204	0.985585	0.028949	-0.010146	0.166374	img__0_1683167162670979000.png
1683167157811	1.860047	-7.751110	0.008971	0.983813	0.028233	-0.007409	0.176804	img__0_1683167162738817000.png
1683167157859	1.952096	-7.714154	0.010623	0.982503	0.027228	-0.005358	0.184168	img__0_1683167162785536000.png
1683167157904	2.038355	-7.678363	0.011784	0.981254	0.026315	-0.003422	0.190885	img__0_1683167162832125000.png
1683167157955	2.135986	-7.636559	0.013327	0.979821	0.025773	-0.003337	0.198182	img__0_1683167162883066000.png
1683167158003	2.227724	-7.596057	0.015370	0.978456	0.025798	-0.003061	0.204813	img__0_1683167162930688000.png
1683167158051	2.319300	-7.554447	0.018087	0.977098	0.025518	-0.002534	0.211238	img__0_1683167162977300000.png
1683167158120	2.450619	-7.492691	0.022404	0.975161	0.025076	-0.002390	0.220062	img__0_1683167163046693000.png
1683167158174	2.553097	-7.442780	0.025939	0.973608	0.025407	-0.001648	0.226802	img__0_1683167163101616000.png
1683167158222	2.643923	-7.397213	0.028605	0.972223	0.025476	-0.001416	0.232660	img__0_1683167163149378000.png
1683167158270	2.734483	-7.350536	0.031239	0.970830	0.025443	-0.001058	0.238413	img__0_1683167163196339000.png
1683167158312	2.813491	-7.308804	0.033741	0.969593	0.025609	-0.000844	0.243378	img__0_1683167163237976000.png
1683167158360	2.903496	-7.260037	0.035879	0.968156	0.026138	-0.001519	0.248976	img__0_1683167163285676000.png
1683167158405	2.987606	-7.213262	0.037269	0.966783	0.026670	-0.001481	0.254201	img__0_1683167163332101000.png
1683167158477	3.121632	-7.136361	0.040061	0.964620	0.025531	-0.000471	0.262404	img__0_1683167163403225000.png
1683167158522	3.205030	-7.087078	0.042568	0.963272	0.024859	0.000187	0.267375	img__0_1683167163450209000.png
1683167158579	3.310188	-7.023290	0.044790	0.961563	0.024516	0.001393	0.273485	img__0_1683167163505181000.png
1683167158624	3.392780	-6.971894	0.045758	0.960274	0.021633	0.004180	0.278187	img__0_1683167163552075000.png
1683167158669	3.474926	-6.919715	0.046447	0.959001	0.019282	0.007227	0.282655	img__0_1683167163595982000.png
