Epoch 123 | Train L_gate: 0.009549022652208805 | Test L_gate: 0.011318487115204334
Epoch 124 | Train L_gate: 0.009636127389967442 | Test L_gate: 0.011429560370743275
Epoch 125 | Train L_gate: 0.00960821844637394 | Test L_gate: 0.011013153940439224
Epoch 126 | Train L_gate: 0.009428787045180798 | Test L_gate: 0.010680398903787136
Epoch 127 | Train L_gate: 0.009738474152982235 | Test L_gate: 0.010858267545700073
Epoch 128 | Train L_gate: 0.009468728676438332 | Test L_gate: 0.01088032778352499
Epoch 129 | Train L_gate: 0.009471096098423004 | Test L_gate: 0.011120997369289398
Saving weights to model_outputs/bc_capsule_con
Epoch 130 | Train L_gate: 0.009455423802137375 | Test L_gate: 0.010849528945982456
Epoch 131 | Train L_gate: 0.009479932487010956 | Test L_gate: 0.011144864372909069
Epoch 132 | Train L_gate: 0.009595694951713085 | Test L_gate: 0.011533566750586033
Epoch 133 | Train L_gate: 0.009359927847981453 | Test L_gate: 0.01088033989071846
Epoch 134 | Train L_gate: 0.009469237178564072 | Test L_gate: 0.011011478491127491
Epoch 135 | Train L_gate: 0.009844084270298481 | Test L_gate: 0.010544351302087307
Epoch 136 | Train L_gate: 0.009536884725093842 | Test L_gate: 0.01009183656424284
Epoch 137 | Train L_gate: 0.009431927464902401 | Test L_gate: 0.010816236026585102
Epoch 138 | Train L_gate: 0.009416134096682072 | Test L_gate: 0.010725841857492924
Epoch 139 | Train L_gate: 0.009530934505164623 | Test L_gate: 0.010599254630506039
Saving weights to model_outputs/bc_capsule_con
Epoch 140 | Train L_gate: 0.009486009366810322 | Test L_gate: 0.011067013256251812
Epoch 141 | Train L_gate: 0.009509911760687828 | Test L_gate: 0.01078962255269289
Epoch 142 | Train L_gate: 0.009469249285757542 | Test L_gate: 0.010718674398958683
Epoch 143 | Train L_gate: 0.009507430717349052 | Test L_gate: 0.011512435972690582
Epoch 144 | Train L_gate: 0.00925886258482933 | Test L_gate: 0.0113613186404109
Epoch 145 | Train L_gate: 0.009368824772536755 | Test L_gate: 0.011022011749446392
Epoch 146 | Train L_gate: 0.009363760240375996 | Test L_gate: 0.010978683829307556
Epoch 147 | Train L_gate: 0.009461484849452972 | Test L_gate: 0.01075735967606306
Epoch 148 | Train L_gate: 0.009561178274452686 | Test L_gate: 0.010164904408156872
Epoch 149 | Train L_gate: 0.009440828114748001 | Test L_gate: 0.010588658042252064
Saving weights to model_outputs/bc_capsule_con
Epoch 150 | Train L_gate: 0.009552255272865295 | Test L_gate: 0.010452340357005596
Epoch 151 | Train L_gate: 0.00932639092206955 | Test L_gate: 0.010020002722740173

